Name,SMILES,pKa_25,canonical_SMILES,has_nitrogen,Atom_ID,Type_of_nitrogen,Nitrosated_SMILES,Recovered_SMILES,Recovered_Atom_ID
Acetohexamide,CC(=O)c1ccc(cc1)S(=O)(=O)NC(=O)NC2CCCCC2,6.0,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,True,10,Secondary,CC(=O)c1ccc(S(=O)(=O)N(N=O)C(=O)NC2CCCCC2)cc1,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,10.0
Acetohexamide,CC(=O)c1ccc(cc1)S(=O)(=O)NC(=O)NC2CCCCC2,6.0,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,True,13,Secondary,CC(=O)c1ccc(S(=O)(=O)NC(=O)N(N=O)C2CCCCC2)cc1,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,13.0
Acetylspiramycin,CC1CC=CC=CC(C(CC(C(C(C(CC(=O)O1)OC(=O)C)OC)OC2C(C(C(C(O2)C)OC3CC(C(C(O3)C)O)(C)O)N(C)C)O)CC=O)C)OC4CCC(C(O4)C)N(C)C,5.0,COC1C(OC(C)=O)CC(=O)OC(C)CC=CC=CC(OC2CCC(N(C)C)C(C)O2)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(O)C(C)O2)C(N(C)C)C1O,True,25,Tertiary,CN(C)N=O,CNC,1.0
Acetylspiramycin,CC1CC=CC=CC(C(CC(C(C(C(CC(=O)O1)OC(=O)C)OC)OC2C(C(C(C(O2)C)OC3CC(C(C(O3)C)O)(C)O)N(C)C)O)CC=O)C)OC4CCC(C(O4)C)N(C)C,5.0,COC1C(OC(C)=O)CC(=O)OC(C)CC=CC=CC(OC2CCC(N(C)C)C(C)O2)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(O)C(C)O2)C(N(C)C)C1O,True,57,Tertiary,CN(C)N=O,CNC,1.0
Ajmaline,CCC1C(O)N2C3CC1C4C(O)C5(CC42)C3N(C)c6ccccc65,13.2,CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O,True,7,Tertiary,CCC1C2CC3CC4(c5ccccc5N(C)N=O)CC(C2C4O)N3C1O,CCC1C2CC3CC4(c5ccccc5NC)CC(C2C4O)N3C1O,14.0
Ajmaline,CCC1C(O)N2C3CC1C4C(O)C5(CC42)C3N(C)c6ccccc65,13.2,CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O,True,7,Tertiary,CCC1C2CC3C4N(N=O)c5ccccc5C45CC(C2C5O)N3C1O,CCC1C2CC3C4Nc5ccccc5C45CC(C2C5O)N3C1O,7.0
Ajmaline,CCC1C(O)N2C3CC1C4C(O)C5(CC42)C3N(C)c6ccccc65,13.2,CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O,True,7,Tertiary,CCC1C2CC3C(N(C)N=O)C4(c5ccccc5)CC(C2C4O)N3C1O,CCC1C2CC3C(NC)C4(c5ccccc5)CC(C2C4O)N3C1O,7.0
Aminopyrine,CN(C)C1=C(C)N(C)N(C1=O)C1=CC=CC=C1,5.0,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,True,3,Tertiary,CN(C)N=O,CNC,1.0
Amitriptyline,CN(C)CCC=C1c2ccccc2CCc3ccccc31,9.49,CN(C)CCC=C1c2ccccc2CCc2ccccc21,True,1,Tertiary,CN(CCC=C1c2ccccc2CCc2ccccc21)N=O,CNCCC=C1c2ccccc2CCc2ccccc21,1.0
Amitriptyline,CN(C)CCC=C1c2ccccc2CCc3ccccc31,9.49,CN(C)CCC=C1c2ccccc2CCc2ccccc21,True,1,Tertiary,CN(CCC=C1c2ccccc2CCc2ccccc21)N=O,CNCCC=C1c2ccccc2CCc2ccccc21,1.0
